"shop_id","domain_url","domain_registration_date","is_young_domain","contact_email","logo_url","legitimate"
"956","https://lespirant.com","2015-09-29 20:58:00","0","2","1","1"
"957","https://247pharm.net","2017-10-09 12:10:00","0","0","1","0"
"958","https://sunluxroofwindows.co.uk","2014-12-04 00:00:00","0","1","1","1"
"959","https://shop.ambclasse.com/passwor","2016-02-28 09:18:00","0","0","0","1"
"960","https://www.meyer-trousers.ie/en_ie","2016-12-07 00:00:00","0","3","1","1"
"961","https://www.teqoya.com","2014-07-21 18:09:00","0","2","1","1"
"962","https://www.accessoriesbetter.com","2023-02-27 00:00:00","1","0","0","0"
"963","https://www.jerseyrabatt.com","2022-05-25 01:25:00","0","0","0","0"
"964","https://hero.lt","2012-04-05 00:00:00","0","2","1","1"
"965","https://www.livingroomonsell.com","2023-08-15 07:48:00","1","0","1","0"
"966","https://www.canadian-rxpharmacy.com","2020-06-01 17:00:00","0","0","0","0"
"967","https://www.dosenprofi.com","2007-04-11 13:12:00","0","0","1","1"
"968","https://germanysolingen.com/en","2000-10-06 06:38:00","0","2","1","1"
"969","https://www.inhealth.ie","2009-01-16 00:00:00","0","2","1","1"
"970","https://www.cyclesprint.com","2023-06-30 03:33:00","1","0","1","0"
"971","https://allusmusic.com","2023-05-18 09:21:00","1","0","0","0"
"972","https://www.decathlon.co.uk","1997-03-12 00:00:00","0","0","1","1"
"973","https://www.kjus.com/us/en/hom","1999-02-15 05:00:00","0","2","1","1"
"974","https://silwy.de/e","","2","2","1","1"
"975","https://www.poweredblinds.dk","2014-09-30 00:00:00","0","0","1","1"
"976","https://www.cycleshopworld.com","2023-08-01 08:20:00","1","0","1","0"
"977","https://super-shop.com","2003-10-24 18:25:00","0","2","1","1"
"978","https://bestmedicineservice.com","2023-01-23 08:56:00","1","0","1","0"
"979","https://www.parduotuvevaikams.lt","2016-02-17 00:00:00","0","2","1","1"
"980","https://www.sanct-bernhard.com","2000-03-28 15:10:00","0","3","1","1"
"981","https://esgehtauchohnerezept.net","2023-01-20 07:15:00","1","0","1","0"
"982","https://www.fundis-equestrian.com","2020-04-15 14:02:00","0","0","1","1"
"983","https://www.blutsgeschwister.de","","2","2","1","1"
"984","https://www.erectieassistent.nl","2023-05-11 00:00:00","1","0","1","0"
"985","https://www.vercella-vita.shop","2020-08-03 07:24:00","0","0","1","1"
"986","https://www.immunepharma.com","2009-06-20 18:54:00","0","2","1","0"
"987","https://www.vhatkevada.shop","2023-03-18 00:12:00","1","0","0","0"
"988","https://www.floranza.de","","2","2","1","0"
"989","https://www.adsport.store","2019-03-11 00:00:00","0","2","1","1"
"990","https://www.chicloverplusizes.com","2023-06-19 07:08:00","1","0","1","0"
"991","https://www.lukasmullerwelpenzuhause.com","2023-03-22 00:00:00","1","2","0","0"
"992","https://www.fanthome.com/en","2014-06-09 18:47:00","0","0","1","1"
"993","https://www.keenschuhe.at","","2","0","1","0"
"994","https://www.clothesoptinfo.com","2023-05-30 06:22:00","1","0","0","0"
"995","https://irelandseyeknitwear.com","2019-05-15 17:17:00","0","3","1","1"
"996","https://got-bag.com","2016-10-20 19:05:00","0","2","1","1"
"997","https://www.fadtennis.com","2023-05-26 00:00:00","1","0","1","0"
"998","https://www.tkmaxx.com/LandingPage","1996-05-11 04:00:00","0","0","1","1"
"999","https://baitukas.lt","2001-12-06 00:00:00","0","2","1","1"
"1000","https://www.hunkemoller.se","2009-10-21 00:00:00","0","3","1","1"
"1001","https://www.overtoolbase.com","2023-07-15 03:39:00","1","0","1","0"
"1002","https://www.magrabo.com/gb","2015-03-19 09:27:00","0","3","1","1"
"1003","https://www.protest.eu/nl/n","","2","0","1","1"
"1004","https://www.obsession-shop.com/en","2020-09-02 07:09:00","0","0","1","1"
"1005","https://www.barnesandnoble.com","1995-08-10 04:00:00","0","0","1","1"
"1006","https://www.completoshop.cz","","2","2","1","1"
"1007","https://www.europe-pharm.net","2023-05-14 07:29:00","1","0","1","0"
"1008","https://competitiveoutside.com","2023-05-08 03:15:00","1","0","1","0"
"1009","https://www.proportional-dispensers.com","2017-02-28 20:13:00","0","3","1","1"
"1010","https://ourstatestore.com","2010-05-03 13:50:00","0","3","1","1"
"1011","https://www.joyfuldollies.com","2023-05-25 00:00:00","1","0","1","0"
"1012","https://www.haulageproduct.com","2023-05-22 07:59:00","1","0","0","0"
"1013","https://www.furnitoolzhub.com","2023-06-15 08:16:00","1","0","1","0"
"1014","https://www.stylehighheel.com","2023-07-20 06:07:00","1","0","1","0"
"1015","https://www.travelnet.ie","2001-12-20 00:00:00","0","2","1","1"
"1016","https://www.paninodipino.nl","2008-12-11 00:00:00","0","0","1","1"
"1017","https://horkans.ie","2012-07-17 00:00:00","0","2","1","1"
"1018","https://www.salescottonbriefs.com","2023-07-24 07:44:00","1","0","1","0"
"1019","https://sportano.hu","","2","2","1","1"
"1020","https://www.portugal-natura.com/pt","2017-07-05 09:04:00","0","2","1","1"
"1021","https://www.saleshometool.com","2023-07-26 00:00:00","1","0","1","0"
"1022","https://topeuro-shop.com","2017-03-15 21:25:00","0","0","1","0"
"1023","https://gilltry.com","2023-03-16 12:45:00","1","3","1","0"
"1024","https://megapharmnorx.com","2015-05-03 18:39:00","0","0","1","0"
"1025","https://aemster.com","2020-12-29 11:59:00","0","2","1","1"
"1026","https://hurtownia-kesi.pl","2013-05-06 10:09:00","0","2","1","1"
"1027","https://lifestyle-atelier.com/en","2020-08-05 12:41:00","0","2","1","1"
"1028","https://theshhhop.com/e","2020-04-18 12:34:00","0","2","1","1"
"1029","https://aarding.org","2016-09-03 16:16:00","0","2","1","1"
"1030","https://www.quizclothing.co.uk","1999-09-16 00:00:00","0","2","1","1"
"1031","https://juventas-vet.com","2020-06-21 11:54:00","0","2","1","1"
"1032","https://typeoptclothes.com","2023-05-17 03:35:00","1","0","0","0"
"1033","https://www.twidlachannel.com","2023-05-17 07:08:00","1","0","0","0"
"1034","https://outdoorfurniture.ie","2010-10-11 00:00:00","0","3","1","1"
"1035","https://www.pullot-ja-purkit.fi","2021-03-26 00:00:00","0","0","1","1"
"1036","https://www.apparel-mens.com","2023-01-02 07:15:00","1","0","1","0"
"1037","https://www.bikeaccessoriesneu.com","2023-04-29 07:53:00","1","0","1","0"
"1038","https://www.nineraiment.com","2023-05-21 03:45:00","1","0","1","0"
"1039","https://www.mygretchen.com","2006-08-09 10:48:00","0","2","1","1"
"1040","https://magyar-generikus.com","2022-02-08 08:47:00","0","0","1","0"
"1041","https://www.fashionrooms.com","2007-05-31 02:00:00","0","0","1","1"
"1042","https://rugbloom.com","2021-01-18 16:50:00","0","0","1","1"
"1043","https://outfitcampus.com","2023-05-08 06:12:00","1","0","0","0"
"1044","https://www.storemoen.com","2022-09-29 10:18:00","1","0","1","0"
"1045","https://www.producttophome.com","2023-05-18 09:13:00","1","0","0","0"
"1046","https://www.homeprotool.com","2023-06-19 08:07:00","1","0","0","0"
"1047","https://www.flaskelandet.dk","2012-11-06 00:00:00","0","0","1","1"
"1048","https://www.cookclearance.com","2023-03-16 00:00:00","1","0","1","0"
"1049","https://sokameja.lt","2017-09-22 00:00:00","0","2","1","1"
"1050","https://www.exhilaratsurf.com","2023-05-15 06:33:00","1","0","1","0"
"1051","https://fixpart.dk/d","2021-02-19 00:00:00","0","2","1","1"
"1052","https://www.durablelionsteel.com","2023-03-21 00:00:00","1","0","1","0"
"1053","https://www.intersport.cz","1998-04-14 02:00:00","0","2","1","1"
"1054","https://www.eevi.cz","2018-06-11 11:13:00","0","2","1","1"
"1055","https://www.credomen.com","2014-06-02 09:48:00","0","2","1","1"
"1056","https://babyelegance.com","2002-12-10 07:26:00","0","2","1","1"
"1057","https://www.futurum.cc","2013-08-03 20:19:00","0","2","1","1"
"1058","https://www.decotex.lt","2009-06-11 00:00:00","0","2","0","1"
"1059","https://bestbuycyprus.com","2012-08-07 00:00:00","0","2","1","1"
"1060","https://shop.shakaloha.com/en","2008-07-24 14:46:00","0","0","1","1"
"1061","https://littlemansrl.com","2020-12-18 15:49:00","0","1","1","1"
"1062","https://www.pramoga.lt","2013-09-05 00:00:00","0","2","1","1"
"1063","https://www.goudacheeseshop.com","2009-03-23 00:00:00","0","0","1","1"
"1064","https://www.leglove.dk/shop/frontpage.htm","2014-12-03 00:00:00","0","0","1","1"
"1065","https://www.trinkeles.lt","2009-03-05 00:00:00","0","2","1","1"
"1066","https://www.cutleryall.com","2023-05-19 08:14:00","1","0","1","0"
"1067","https://www.mistral.com","1995-05-05 04:00:00","0","0","1","1"
"1068","https://www.varle.lt","2009-07-15 00:00:00","0","2","1","1"
"1069","https://www.chasubles24.com","2015-06-26 10:14:00","0","1","1","1"
"1070","https://www.salegolfshop.com","2023-07-20 00:00:00","1","0","1","0"
"1071","https://www.floorprada.com","2022-11-14 06:42:00","1","0","1","0"
"1072","https://www.enigmacos.com","2023-05-29 00:00:00","1","0","1","0"
"1073","https://www.sturdybicycleus.com","2023-07-20 05:44:00","1","0","1","0"
"1074","https://fersenwelpenhaus.de","","2","2","0","0"
